donor_name,canonical_name,total_given,rank_overall
AKTIONSGRUPPE KINDER IN NOT E V,Aktionsgruppe Kinder in Not ,17661582.24,2664
AkzoNobel,,21100000,2279
AL AHLI HOLDING GROUP,Al Ahli Holding Group,23722519.9,2060
Al Hedaya CHARITY ASSOCIATION,Al Hedaya Charity Association,26511933,1828
AL IMDAD FOUNDATION,,36287675.14,1300
AL JISR CHARITY ASSOCIATION,,51258487.44,869
Al Khair Foundation,,38394009.33,1227
AL KHAIR FOUNDATION,Al Khair Foundation,13773970,3268
Al Najat Charity Society,,160146866.9,249
Al Phelia Foundation,,15204486,3020
AL RAHMA CHARITY EMIRATES ASSOCIATION FOR SOCIAL DEVELOPMENT,,215070424,162
AL RAHMA INTERNATIONAL,Al Rahma International,34587223.48,1369
AL SALEM CHEMICAL,,13396316.4,3360
Alaigal Association,,33379938,1433
ALBERT DIEDRICH,,12656274.2,3545
Alboan,Fundacion Alboan,23359557,2092
ALBOAN,Fundacion Alboan,15235647.16,3014
Alboan  Padre Lojendio,Fundacion Alboan,18819948,2518
ALBOAN FOUNDATION,Fundacion Alboan,21694885,2226
ALBOAN Foundation,Fundacion Alboan,10642770,4100
Alboan Foundation,Fundacion Alboan,9776516,4398
ALD Automotive,,9029825,4657
ALI SK EV AKTION LEBENSHILFE FUR INDIENS,,10053682.53,4280
ALIGHT HR SERVICES INDIA PRIVATE LIMITED,,12014636,3703
Alimaan Charitable Trust,Alimaan Charitable Trust,17510343,2684
ALIMAAN CHARITABLE TRUST MUMBAI,Alimaan Charitable Trust,13798058,3264
ALKHIEI BENEVOLENT FOUNDATION,Imam Al-Khoei Benevolent Foundation,12326038,3635
ALKHOIEE FOUNDATION,Imam Al-Khoei Benevolent Foundation,41540144.85,1106
All India Mission,,211367454,166
All Japan Seamens Union,All Japan Seamens Union,262611690.3,132
ALL JAPAN SEAMENS UNION,All Japan Seamens Union,72281074.3,597
All We Can,,9971729.25,4317
ALOYSIUS JANZ UGENE,,11152790,3949
Alpha Ministries,,10517924.62,4134
ALPHA MINISTRIES,,8636990,4831
ALPHADEX TRADING FZE,,24801328,1957
ALSAYER INTERNATIONAL GROUP,,20386444.53,2354
AMAN ON BEHALF OF TERRE DES HOMMES DEUTSCHLAND,Terre des Hommes Deutschland,8620656.74,4840
Amansa Capital Pte Ltd,,18930000,2504
AMAZING DREAMS FOUNDATION,,103960856.9,401
AMAZON DEVELOPMEN CENTRE INDIA LIMITED,Amazon Development Center India Private Limited,13892864,3248
Amazon Development Center India Private Limited,Amazon Development Center India Private Limited,30663929,1571
Ambuja Cements Limited,,357862500,84
AMD India Pvt Ltd,,13756920,3272
AMDOCS DEVELOPMENT CENTRE INDIA PRIVATE LIMITED,,16434000,2828
America World Adoption Association,,16235545.61,2860
American Association for Social Advancement of India Inc,,9230592.25,4592
American Cancer Society  Inc,,11914774,3728
American Council,American Council of the Ramabhai Mukti Mission,62065760,725
American Council of ACA,,62562255,716
American Embassy,Embassy of the United States of America,16343295.39,2842
American India Foundation,American India Foundation,56696021.65,800
AMERICAN INDIA FOUNDATION,American India Foundation,18869214,2511
AMERICAN INITIATIVE FOR EDUCATION IN INDIA EDUCATE INDIA FUND,,11126071.5,3957
American Institute of Indian Studies,,339625156,90
AMERICAN JEWISH JOINT DISTRIBUTION COMMITTEE,,26492345,1830
American Jewish World Service,American Jewish World Service,205671816.9,169
AMERICAN JEWISH WORLD SERVICE,American Jewish World Service,85777412.35,510
American Jewish World Service AJWS,American Jewish World Service,11809686,3764
American Jewish World Service Inc,American Jewish World Service,10702613,4074
American Jewish World Services,American Jewish World Service,29017204.45,1662
AMERICAN LEPROSY MISSION,,11639670,3808
American Service to India,American Service to India,19531125.38,2431
AMERICAN SERVICE TO INDIA,American Service to India,8895054,4711
American Society for Health for All,,23714605.86,2063
American Society for International Shanti,,17858931,2643
AMERICAN UNIVERSITY,,15401105.06,2986
Americares Foundation Inc,,22453315,2169
AMG INTERNATIONAL,,62675496.97,713
AMICI DELLE MISSIONARIE DELL IMMACOLATA,Associazione Amici delle Missionarie dell Immacolata,16759366,2775
AMICI DI PADRE PEZZONI,,25542771,1881
Amigo Del IIMC,,25217849.55,1914
Amigoes De SMSS odissa,,21077452,2284
AMIGOS DE CALCUTA KOBARDANGA,,13697251.63,3283
AMIS DU PERE GUEZOU,,24754557,1960
AMIS DUE DEV,,19207987,2470
AMISTED INTERNATIONAL,,11399820,3877
Amitabha Foundation,,84132300.3,518
AMPLIFYCHANGE Consortium of Mannon Daniels Ltd,,12241332.23,3662
AMSERVE CONSULTANTS LIMITED,,8737740,4779
AMWAY INDIA ENTERPRISES PVT LTD,,12390855,3618
Anandana The Coca Cola India Foundation,,13636660,3297
ANCILLAE,,17087045,2738
ANCOP International Canada,,14655052,3092
ANDE Chapter,,9982672.63,4311
ANDHERI FREUNDESKREIS e V,,9397404.6,4538
ANDHERI HILFE,Andheri Hilfe,15437363.9,2974
Andheri Hilfe Bonn,Andheri Hilfe,32762537,1467
