donor_name,canonical_name,total_given,rank_overall
Congregation of Sisters of St Joseph of St Marc,,17176774,2723
CONGREGATION OF SISTERS OF ST MARTHA,,9502931,4505
CONGREGATION OF THE DAUGHTERS,Congregation of the Daughters,19761377.48,2412
Congregation of the Daughters,Congregation of the Daughters,10449288.48,4156
Congregation of the Priests of the Olton Friary,,11512179.73,3847
CONGREGAZIONE,,19082927,2486
Congregazione dei Missionarie di N S,,16764015,2774
Congregazione dei Padri della Dottrina Cristiana,,35406959,1332
Congregazione dei Rogazionisti,,91747144,470
CONGREGAZIONE DELLE SUORE DI CARITA DI SANTA MARIA,,46733060,964
CONGREGAZIONE DELLE SUORE FRANCES,,14675773,3089
Congregazione di SGiusppe,,24303194,2005
congregazione maestre Pie Venerini,,12357076,3624
CONGREGAZIONE MARIANA DELLE CASE DELLA CARITA,,9093066,4640
CONGREGAZIONE SUORE DI CARITA DELLE SANTE B CAPITANIO EV GEROSA,,17870067,2640
Congregazione Suore Domenicane Del SS Rosario di Pompei,,15282387,3007
CONGREGAZIONE SUORE MINIME DELL ADDOLORATA,,29271688,1648
Conrad N Hilton Foundation,Conrad N Hilton Foundation,20909076,2303
Conrad N Hilton Fund for Sisters,Conrad N Hilton Foundation,26155415.13,1852
CONRAD N HILTON FUND FOR SISTERS,Conrad N Hilton Foundation,23667013.48,2070
Conregregazione Suore Domenicane Del SS Rosario di Pompei,,9969059,4319
Conservation Education and Research Trust,,72324005.18,595
Conservation International Japan,,12429814,3610
Consulate General of Japan,,10837091.56,4033
Contactions Gemeinnut zige GMBH,,11294703,3905
Convoy of Hope,,13025850.68,3447
Cooperative Outreach of International,,35845893.73,1310
CORD USA,,100656170.2,421
CORDAID,,14003010,3223
Cornell University,,64603654,674
CorStone,,10199544,4230
Council for World Mission,,10652133.54,4096
Covenant World Relief,,39753775.51,1180
CREA,,13944751,3238
Creative Associates International,,11732224.94,3780
CREDIT SUISSE,Credit Suisse,13446457,3348
Credit Suisse,Credit Suisse,10276353,4210
CREDIT SUISSE AG,Credit Suisse AG,41048000,1120
Credit Suisse AG,Credit Suisse AG,23116705,2112
Credit Suisse Securities India Private Limited,,39949801.2,1173
Credit Suisse Services India Private Limited,Credit Suisse Services India Pvt Ltd,11691532,3793
Credit Suisse Services India Pvt Ltd,Credit Suisse Services India Pvt Ltd,25924932,1864
CRI,,12245438,3660
CRISIL FOUNDATION,,13392996,3361
CropLife International,,45255932.53,996
CROSS ROAD COMMUNITY CHURCH,,20637414.62,2331
Cross Villie Church,,118167790.4,346
CROSSPOINT CHURCH,Crosspoint of India,14432235,3130
Crosspoint of India,Crosspoint of India,30302209.28,1595
Crossville Church of Christ,,54443857.31,824
CRY,Child Rights and You (CRY),9492113,4512
CRY  Child Rights and You,Child Rights and You (CRY),19192606,2473
CRY Child Rights and You,Child Rights and You (CRY),13547217.64,3321
CRY CHILD RIGHTS AND YOU AMERICA INC,Child Rights and You (CRY),173277226.3,226
CRY CHILD RIGHTS AND YOU UK,Child Rights and You (CRY),19003816.27,2496
CSI SYNOD,Church of South India Synod,28181876,1711
CSI Synod Office,Church of South India Synod,17422542.97,2691
CSI TA,Church of South India Trust Association,26869125.6,1802
CUP OF BLESSING,Cup of Blessings,165419706,241
Cup of Blessings,Cup of Blessings,260333351,133
Cure A Little Heart Foundation,,13151695.8,3417
CureToChildren Foundation,,9188205.2,4612
Curia Generaliza,Curia Generaliza,21568497,2236
CURIA GENERALIZIA,Curia Generaliza,8481824,4895
Curia Generalizia Della,Curia Generalizia Della Compagnia Di Gesu,9652132,4446
Curia Generalizia Della Compagnia Di Gesu,Curia Generalizia Della Compagnia Di Gesu,31303778.52,1541
Curia Generalizia della Compagnia di Gesu,Curia Generalizia Della Compagnia Di Gesu,9942699,4335
D V N,,27156065.1,1778
DACH UBERM KOPF,,28241745,1707
Dalit Freedom Fund,,40512124.65,1141
Dalit Freedom Network,Dalit Freedom Network,298484304,107
Dalit Freedom Network Australia,Dalit Freedom Network,11653025.11,3804
Dalit Freedom Network Canada,Dalit Freedom Network,442920568.1,69
Dalyan Foundation,,14252800,3172
Damien Foundation,Damien Foundation,302610665.5,104
Damien Foundation India Trust,Damien Foundation India Trust,24444900,1989
DAMIEN FOUNDATION INDIA TRUST,Damien Foundation India Trust,15770112,2922
DANA FARBER CANCER INSTITUTE,,24670350.83,1967
DanChurchAid,,13414492,3356
DANMISSION,,13247557.92,3394
Dar Al Ber Society,Dar Al Ber Society,297241006.2,108
DAR AL BER SOCIETY,Dar Al Ber Society,44057415.65,1034
Darrell Dunham Margham Inc,,8452749,4903
DARUL ULOOM KANTHARIA TRUST,,28328195,1701
DARULOOM KANTHARIA TURST,,12090188.18,3682
Dasra,Dasra,80476478.5,543
DASRA,Dasra,31641379.39,1520
DASRA USA,Dasra,10891065.04,4014
Datta Yoga Center Germany,,8305460,4966
Datta Yoga Center USA,Datta Yoga Center USA,64406280,677
Datta Yoga Center Usa,Datta Yoga Center USA,14501564,3118
Datta Yoga Centre Switzerland,,10287586,4206
Daughters of Charity of the Most Precious Blood,,11213788,3930
DAUGHTERS OF ST ANNE,,16098069,2878
Daughters of st Camillus Home for the Handicapped,,12325067,3636
David and Lucile Packard Foundation,,174888486.3,222
David Shephered Wildlife Foundation,,17826558.05,2650
DAWAT E HADIYAH,Dawat e Hadiyah,8409984,4927
Dawat E Hadiyah America A Corporation Sole,Dawat e Hadiyah America,2383632553,3
Dawat E Hadiyah Texas A Corporation sole,Dawat e Hadiyah Texas,1721192810,9
Dawat E Hadiyah U K,Dawat e Hadiyah UK,111187200,374
Dayspring International,,139691017.7,294
DBHV,,22728713,2143
DBS Foundation,,9394531,4539
DBS Sister through VKO,,9501853,4506
De Beers Global Sightholder Sales Pty Ltd,,16502500,2816
De Paul SSSmile Village INC,,8737619.17,4780
DE VEERE NAASTEN,De Verre Naasten,32596567.78,1472
De Verre Naasten,De Verre Naasten,58643689.46,772
DE VERRE NAASTEN,,14401228.1,3135
Deaf Child Worldwide,,41330657.43,1112
Deep Griha USA,,15126803,3029
Deepavali Charitable Trust,,40235130,1152
Delegacion General,,176361279,219
Delegation of the European Union to India,,8290200,4974
Delegation of The European Union to Thailand,,10951551,3995
DELHI SAMAJI VIKAS KENDRA,Delhi Samajik Vikas Kendra,10103379,4264
Delhi Samajik Vikas Kendra,Delhi Samajik Vikas Kendra,63627208,696
DELHI SAMAJIK VIKAS KENDRA,Delhi Samajik Vikas Kendra,9851914,4375
Delhi Samajik VikasKendra,Delhi Samajik Vikas Kendra,9597004,4474
DELL International Services,Dell International Services,43472665,1051
DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,Dell International Services,10378867,4181
DEN DANSKE HJELPEFOND,Den Danske Hjelpefond,8503605,4884
dendanskehjaelpefond,Den Danske Hjelpefond,8334535,4956
Department for International Development,UK Department for International Development (DFID),59238984.68,767
Deshpande Foundation,,22724848,2144
Destiny Rescue USA,,16880586.84,2757
Deutsche Bank,,131538368,319
Deutsche Bank AG,,270945308,126
DEUTSCHE BANK AG,,70828238.43,611
DEUTSCHE CIB CENTRE PVT LTD,,9846780,4376
Deutsche Cleft Kinderhiffe eV,,134886014,305
Deutsche Gesellschaft Fur International Zusammenarbeit GmbH,Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),42876048,1071
Deutsche Gesellschaft fur Internationale Zusammenarbeit,Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),13377009,3366
Deutsche Gesellschaft fur Internationale Zusammenarbeit GIZ GmbH,Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),31147089.56,1547
Deutsche Gesellschaft Fur Internationale Zusammenarbeit GIZ GmbH,Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),19232119,2466
Deutsche Gesellschaft fur Internationale Zusammenarbeit GmBH,Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),92496281,469
Deutsche Lepra Und Tuberkulosehilfe E V,,81547746.85,538
Deutsche Provinz,,8532397.25,4873
Deutsche Provinz der Karmeliten,,45629834,989
Deutsche Provinz Der Salesianer Don Boscos,,60814631,745
DEUTSCHE WELTHUNGERHILF E E V,,18236992.51,2602
Deutsche Welthungerhilfe,Deutsche Welthungerhilfe,24070981.52,2024
Deutsche Welthungerhilfe e V,Deutsche Welthungerhilfe,69975201.56,621
Deutsche Welthungerhilfe E V,Deutsche Welthungerhilfe,18446483.51,2572
Deutsche Welthungerhilfe eV,Deutsche Welthungerhilfe,40209865.64,1153
Deutsche Welthungerhilfe eV German Agro Action,Deutsche Welthungerhilfe,16539481.18,2807
DEUTSCHER CARITASVERBAND E V,,35238593.99,1339
DEVA EUROPE,,32050763,1494
Development Alternatives,,17915705,2633
Development Associates International,,42444214.48,1086
DFID,UK Department for International Development (DFID),32746648.6,1468
DHARMA TRUST,,199276308.5,178
DHL EXPRESS INDIA,DHL Express India,12337730,3630
DHL EXPRESS INDIA PVT. LTD,DHL Express India,11060000,3971
DHL Logistics Pvt Ltd,DHL Logistics Pvt Ltd,8788640,4755
DHYANYOGA CENTRES INC,,18276249.95,2597
Digital Green Foundation,Digital Green Foundation,96337398,449
DIGITAL GREEN FOUNDATION,Digital Green Foundation,29420975,1640
Digital Green Trust,,18281075,2594
Dignity ASBL,,19312153.29,2461
Dignity Freedom Network Australia,,31500978.7,1528
Dinah Findlay,,37819324.89,1245
Dinshaw S Paowala Settlement,,10751093.76,4059
Diocesan Educational Society,,9139775,4631
Diocese of Ahemadabad,,18957503,2501
Diocese of Augsburg,,17499545.56,2686
Diocese of Bongaigaon,,8300095,4968
Diocese of Little Rock,,18616959.41,2544
Diocese of Passau,,18111184,2612
Diocese of Regensburg,,10061336.5,4275
Diocese of Rottenburg,Diocese of Rottenburg,24429764,1992
DIOCESE OF ROTTENBURG,Diocese of Rottenburg,10177061,4238
Diozese Rottenburg Stuttgart,Diocese of Rottenburg,12829031,3503
Direct Relief International,,51995091,853
Directions to Device Seniorenhaus,,11934000,3723
Director,,95982140.05,452
DIRECTOR SAFP,,15001602,3045
Direktion fur Entwicklung und Zusammenarbeit DEZA,,31284212,1543
Direzione Generale Opere Don Bosco,,10510188,4137
DISCALCED CARMELITE FATHERS,,11601030,3823
Disha Tdhg BMZ co financing,,9818904.77,4384
DIVERSEY INDIA PVT LTD,,11874033.5,3741
DIVINE ONKAR MISSION CHARITY,,11819000,3760
Divine Will Foundation,,191218940,194
Divine Word Mission Nalgonda,Divine World Mission Nalgonda,16442808,2826
Divine Word Missionaries,,27075730.48,1787
Divine World Mission Nalgonda,Divine World Mission Nalgonda,24550000,1977
DIVYA SHANTHI MISSION SUPPORT,Divya Shanthi Mission Support,9574908.25,4481
DIVYA SHANTHI MISSION SUPPORT ORGANISATION,Divya Shanthi Mission Support,24968526.9,1936
Divyajyot Foundation Inc,,26998000,1794
DKA,DKA Austria,40035754.41,1164
DKA Austria,DKA Austria,68322504.64,636
DKA AUSTRIA,DKA Austria,16578907.78,2799
DKA Austria Dreikonigsaktion Hilfswerk der Katholischen Jungschar,DKA Austria,8339467,4951
DKA Austria Wilhelminenstrasse,DKA Austria,9859548.68,4370
DKMS Deutsche Knochenmarkspenderd atel gemeinnutzige Gesellschaft MbH,,42843443.4,1075
DKT INTERNATIONAL,DKT International,724477475,32
DLM Incorporation,,23260967,2103
Dockendale Ship Management India Pvt Ltd,,16433000,2829
DOEN Foundation,,33215000,1443
Dogs Trust,,8699055.31,4794
DOLIANA ALDO,,8232535,4996
DOME EDUCATION AND WELFARE FONDATION,,40047914,1163
Domos Comide,Domos Comide,23878123,2047
DOMOS COMIDE,Domos Comide,21958716,2206
DON BOSCO DEVELOPMENT SOCIETY CALCUTTA,,12041199,3699
Don Bosco Jugendhilfe Weltweit,,26699385.6,1815
DON BOSCO JUGENDHILFE WELTWEIT,,22233935,2184
Don Bosco Mission,,55653018.93,816
Don Bosco Mission Bonn,Don Bosco Mission Bonn,77126457.7,563
DON BOSCO MISSION e v,Don Bosco Mission Bonn,28491195,1694
Don Bosco mission For Die Jugend Dieser Welt,Don Bosco mission For Die Jugend Dieser Welt,17149341,2729
Don Bosco Mondo,Fondazione Don Bosco Nel Mondo,286531172.9,114
DON BOSCO MONDO,Fondazione Don Bosco Nel Mondo,50952102.06,873
DON BOSCO MONDO  SALESIAN MISSION,,42371936,1088
Don Bosco Mondo e v,Don Bosco Mission Bonn,56424471,808
DON BOSCO MONDO JUGEND HILFE WELTWEIT,Don Bosco mission For Die Jugend Dieser Welt,38301296,1233
DON BOSCO NEL MONDO,Fondazione Don Bosco Nel Mondo,38691526.73,1214
Don Bosco Nel Mondo,Fondazione Don Bosco Nel Mondo,18550159,2558
Don Calabria Missioni Sostegno Sanita Onlu,,12277214,3651
DON LEONARDO DI MAURO,,20472523.34,2345
Don Metteo Visioli e Signorina Flavia Lonardi,,16307598,2848
Donbosco Mondo,Don Bosco Mondo,20320904.81,2362
DONGYU GATSAL LING INITIATIVE,,26887169,1799
DOOR INTERNATIONAL,,64510412,675
Douglas B Marshall Jr. Family Foundation LEGACY TRUST CO,,16617505.96,2794
Dow Chemical International Pvt Ltd,Dow Chemical International Pvt Ltd,18284000,2592
DOW Chemical International Pvt Ltd,Dow Chemical International Pvt Ltd,12438182,3608
Dr Alan,,19750489.22,2413
Dr Grahams Homes UK Committee,,94101363.05,459
DR JEFFERY AND THERESA,,10140393.3,4253
DR KIRAN AND PALLAVI PATEL FAMILY FOUNDATION INC,,24442951,1990
Dr Richard Chaisson MD,,10686920.08,4081
Dr Willy Vitti Kuppers,,15870154.47,2906
DR. BERNARDO DESOUSA TRUST,,13510420,3331
Draper Richards Kalpan Foundation,,16497944.05,2818
Dream A Dream UK,,15213697,3016
Dream Austria,,16515654.76,2810
Drepung Gomang Institute,,103110173.3,407
Drepung Loseling Monastery,,141055788,290
Dritter Orden Des Heiligen Franziskus TOR,,14439295,3127
Drs Kiran and  Pallavi Patel Foundation For Global Understanding,,16676201,2782
Druk Foundation Ltd,,31584344.95,1525
DRUKPA TRUST,,29441497,1637
DSP MERRIL LYNCH LTD,DSP Merrill Lynch Limited,19085000,2485
DSP Merrill Lynch Limited,DSP Merrill Lynch Limited,10600000,4111
DU PERE GUEZOU ET DON BOSCO,,33654785,1416
Dubai Cares,,90684362.5,476
DUBAI CHARITY ASSOCIATION,Dubai Charity Association,685557814.8,37
Dubai Charity Association Dubai,Dubai Charity Association,137081913,299
DUNAMIS OUTREACH,,8842692.99,4736
DURREL WILDLIFE CONSERVATION TRUST,,9885832,4361
DXC Technology,,14321230,3155
E I DuPont India Private Limited,,16542159,2805
E motion Ms Andrea Schoettler,,13542824,3322
Earthlife Africa,,15536324.55,2963
Eastside Baptist Church,,12547841.28,3574
Ebenezer Gospel Mission,,23818399,2054
EBM INTERNATIONAL,EBM International,26574065.37,1827
EBM International,EBM International,8700004,4792
EC EIDHR,,28441113,1695
Echidna Giving,,20877000,2305
ECHOES INTERNATIONAL,,16647915.99,2789
Echoes of Service,,18958746.43,2500
ECLERX SERVICES LIMITED,,9493980,4510
ECO HIMAL,,20321271,2361
Ecole Polytechnic Federale de Lausanne,,14927394,3062
ECOLES DE LA TERRE AASOCIATION,,25444569.31,1891
ECONOMATO GENERALE,Econome General Missionnaires,81970464,534
ECONOMATO GENERALE PIME ROMA,Econome General Missionnaires,15877693,2904
Econome general,Econome General Missionnaires,19428776.26,2448
ECONOME GENERAL MISSIONNARIES MONTFORTAINS,Econome General Missionnaires,14062848.61,3212
Economic Solidarity,Economic Solidarity,35190565,1340
ECONOMIC SOLIDARITY,Economic Solidarity,12517936,3582
Economo Generalate,Econome General Missionnaires,13186817,3413
ECPAT LUXEMBOURG asbl,,11516427,3843
ECTA International DBA Himserve,,100695770.5,420
Edelgive Foundation,,13716370,3277
Edith Wilkins Street Children Foundation,,14638986,3094
EDMOND HIPP,,9743565.3,4403
Educate a Child Initiative,,65571527.05,660
Educate Above All,,44151578,1028
Educate For Life  UK,,17150998.72,2728
Educate Girls US,,176985408.9,218
Education and Health international inc,,9857686,4372
Education International,,10783226,4052
EDUCO,Fundacion Educacion Y Cooperacion,15316391,2999
EDUCO PHILANTROPHIC,Fundacion Educacion Y Cooperacion,18836393,2514
Edukans,,14115292.22,3201
Effective Intervention,,41089428.02,1118
EFICOR,,8548986,4869
Eileen Fisher Inc,,10929475.68,4006
EINSIEDELN ABBEY,,13698721,3281
Ekal Vidyalaya Foundation of Australia,,37738700,1247
Ekal Vidyalaya Foundation OF CANADA,Ekal Vidyalaya Foundation of Canada,59334023.05,764
Ekal Vidyalaya Foundation of India,Ekal Vidyalaya Foundation of India,107967760,388
EKAL VIDYALAYA FOUNDATION OF INDIA,Ekal Vidyalaya Foundation of India,56573205,806
Ekal Vidyalaya Foundation Of USA,Ekal Vidyalaya Foundation of USA,1563759005,12
EKAM USA INC,,19946945.7,2394
Elegant Marine services Pvt  Ltd,Elegant Marine Services Pvt Ltd,16707040,2779
Elegant Marine Services Pvt Ltd,Elegant Marine Services Pvt Ltd,32888500,1457
Elephent Family,,14529758.82,3110
Elizabeth Glaser Pediatric AIDS Foundation,,39115579.01,1201
Elon University,,8610470.48,4844
Else Kroner Fresenius Stiftung,,23546070.76,2080
Elton John AIDS Foundation,,17449264.6,2689
EMAP,,10384911,4180
Embassy of Japan,,17528555,2683
EMBASY OF NETHERLANDS,Embassy of the Netherlands,8561150,4862
EMBRACE A VILLAGE,,9118681,4632
EMC Software and Services India Pvt ltd,,19236475,2464
Emergency Relief and Development Overseas,,27033899.31,1790
Emirates Airline Foundation,,38573000,1219
EMIRATES RED CRESCENT,Emirates Red Crescent,1055765004,22
Emirates Red Crescent,Emirates Red Crescent,218935309,156
Emitec emission control Technologies India Pvt Ltd,,10600000,4111
Emmanuel Hospital Association,Emmanuel Hospital Association,135259987,304
EMMANUEL HOSPITAL ASSOCIATION,Emmanuel Hospital Association,22548582.56,2162
Emmanuel Hospital Association CANADA,Emmanuel Hospital Association Canada,18800824.85,2521
Emmanuel Hospital Association USA,,48813980.78,920
EMMAUS,Emmaus International,13305751.5,3382
EMMAUS INTERNATIONAL,Emmaus International,20388466.59,2353
Emmaus International,Emmaus International,13460940,3342
EMMAUS SWISS,,10595139,4113
EMMS International,,24985175.94,1932
Emory University,,68084912.54,638
EMPART,,15861715,2909
EMpower,,34656122.78,1361
Empower Ministries,,8416087.56,4923
ENCOUNTER REVIVAL MINISTRIES,,13180996,3414
Encourage Community,,13614335,3304
Enfance Tiers Monde,,12294592.82,3646
ENFANTS DE LA PAIX,,24995324.32,1930
Enfants Du Monde,,9222469.74,4599
ENFANTS ESPOIR DU MONDE,,58613353.28,773
ENTRAIDE FRANCO TIBETAINE,,16169950,2867
Epaphras Trust,,9675274.37,4436
Epic Foundation,Epic Foundation,16114426.12,2874
EPIC FOUNDATION,Epic Foundation,11760764,3775
Episcopal Conference of Italy,,12372622.47,3622
EPISCOPAL CONFERENCE OF ITALY,,9692097.16,4424
EPISCOPALE CONFERENZA,,15332715,2996
Episcopale Conferenza,,13829030,3257
EQUIP INDIA,,12238645,3664
ERASMUS UNIVERSITY,,8355576.92,4947
ERIKS,,31005341,1557
Erzbistum Koeln,Erzbistum Koeln,23512614,2081
Erzbistum Kolen,Erzbistum Koeln,21140634,2275
Erzbistum Koln,Erzbistum Koeln,56508323.29,807
ERZBISTUM KOLN,Erzbistum Koeln,43655060,1044
Erzbistum Paderborn,,23180450.08,2108
ESCO,,11758411.7,3776
Essar Bulk Terminal Limited,,22000000,2202
Essener e.V. In der,,9895472,4351
Essilor Social Impact,,36719841,1281
Esukorapiasu Shudojokai Provincial House,,71121490.23,607
ETERNAL CHARITABLE FOUNDATION,Eternal Charitable Foundation,107884191.1,389
Eternal Charitable Foundation,Eternal Charitable Foundation,53090313.96,840
ETHOS CHURCH,,17942021,2629
EU BORDA,,13988825,3228
Eucharistice Missionare,Eucharistice Missionare,10676052.51,4087
Eucharistische Missionare,Eucharistice Missionare,13903255.34,3241
Eurasia Regional Office,,11467373.5,3863
EURL MYPLANET,,146209151,278
EURO CHARITY TRUST,Euro Charity Trust,498909144.1,58
euro charity trust,Euro Charity Trust,14999764,3050
EUROPEAN BAPTIST MISSION,,9488393,4514
EUROPEAN CLIMATE FOUNDATION,,10243967,4220
European Commission,European Commission,216792251.7,159
EUROPEAN COMMISSION,European Commission,103561502,402
European Union,Delegation of the European Union to India,94619854.02,458
EUROPEAN UNION,Delegation of the European Union to India,62636483,714
European Union Delegation to Thailand,Delegation of the European Union to Thailand,20946839,2297
Europian Commission,European Commission,215820344,161
Ev Christuskirchehgem Bad Vilbel Germany,,8577691.76,4860
EV Luth,,12198605,3667
Evangelical Covenant Church of Hindsale,,9219671,4600
Evangelical Friends Mission,,9742806.42,4404
EVANGELICAL LUTHERAN CHURCH IN AMERICA,Evangelical Lutheran Church in America,22753846.4,2140
Evangelical Lutheran Church in America,Evangelical Lutheran Church in America,22148847,2193
EVANGELICAL LUTHERAN CHURCH IN USA,Evangelical Lutheran Church in America,24693013.3,1966
EVANGELICAL LUTHERAN CHURCH OF AMERICA,Evangelical Lutheran Church in America,8454314.88,4902
EVANGELICAL LUTHERAN SYNOD,Evangelical Lutheran Synod,47777521.2,945
EVANGELICAL RESOURCES INC,,9870183.39,4364
EVANGELISCHE,,8313420,4961
EVANGELISCHE ZENTALSTELLE F,,16775405,2772
Evangelisches Missionswerk EMW,,10278224,4209
Evangelisches Missionswerk inn Deutschland,,9052778,4650
EvangelischeS Werk Fuer Diak,Evangelisches Werk fur Diakonie und Entwicklung eV,8471775,4897
Evangelisches Werk Fur Diakonie,Evangelisches Werk fur Diakonie und Entwicklung eV,13174575.72,3416
Evangelisches Werk fur Diakonie und Entwicklung eV,Evangelisches Werk fur Diakonie und Entwicklung eV,13999850,3226
Evangelism Resources,,9386350.38,4541
Evangelistens Mission Service,,24033102.4,2027
EVERY HOME FOR CHRIST,Every Home for Christ,86194458,507
EVERY HOME GLOBAL CONCERN LTD,Every Home for Christ,20141872,2373
Evidence of Faith,,25028337,1921
EVIDENCE OF FAITH WORLD EVANGELISM NEW LIFE SCHOOL,,29594399.41,1631
EWM EIN HERZ FUR INDIEN eV,,69311949,628
Excellence Dragon,,21027668,2290
Executive Ship Management Pvt Ltd Singapore,,16146850,2869
Eye Sight International,,19390620,2453
EYGS LLP,,58546638,774
F I H SISTERS,,19109406,2479
F M P B  U S,Friends Missionary Prayer Band,25230850,1911
FACEBOOK INDIA ONLINE SERVICES PVT LTD,Facebook India Online Services Pvt Ltd,31505570,1527
Fair Med,Fairmed,15643903,2944
FAIRMED,Fairmed,49753862.31,895
Fairmed,Fairmed,43941826,1039
Faith in deeds,,18342938,2582
Faith Outreach,,11699894.26,3789
Familia Bottrop,,11099590.51,3964
Family Association for International Adoptees,,13997094,3227
FAMILY CARE FOUNDATION,,11731763,3781
Family Health International,FHI 360,195830759.6,185
FAMILY HEALTH INTERNATIONAL,FHI 360,33437987.29,1428
Far Corners Missions,,42148442,1092
FARMDALE CHURCH OF CHRIST,,17891487.6,2637
FASTENOPFER,FASTENOPFER SWISS CATHOLIC LENTEN FUND,10345128.55,4189
FASTENOPFER SWISS CATHOLIC LENTEN FUND,FASTENOPFER SWISS CATHOLIC LENTEN FUND,18895967,2508
Fastenopfer Swiss Catholic Lenten Fund,,15911541,2901
FASTENOPPER ACTION DE CAREME SACRIFICIO QUARESIMALE,,11612308,3818
FATHER HOUSE,,9745103,4402
FATIMA WELFARE TRUST,,9322232.28,4564
FD Matured with Interest,,22856792,2133
FDSHJ SISTERS,,8842693.63,4735
FEBA RADIO UK,,12175845,3670
FEBC  AUSTRALIA,Far Eastern Bible College,11776583.76,3771
FEBC LA MIRADA,Far Eastern Bible College,14843143,3069
Felissimo Corporation,,33718725,1413
FELLOWSHIP CHURCH DALLAS,,13194207,3410
Fellowship Foundation or The International Foundation,,9672398.12,4438
Ferro Industrial,,143572500,286
FHI,FHI 360,9227917,4595
FHI DEVELOPMENT LLC,FHI 360,10935696,4002
FIA FOUNDATION,,9926373,4337
FiBL,,24035671,2026
FICCI Socio Economic Development Foundation,,13114553,3428
Fida International,FIDA International,36503898,1289
FIDA International,FIDA International,33270972,1436
FIDEI,,9242603,4589
Fidelity International Foundation,Fidelity International Foundation,44191235.77,1027
FIDELITY INTERNATIONAL FOUNDATION,Fidelity International Foundation,29921858.6,1616
Fidelity Investments Foundation,Fidelity International Foundation,10402432,4173
FIFRO,,19525493.59,2433
Figlie Della Presentazione,,26424126,1837
Figlie della Sapienza,,29265122,1650
FIGLIE DI MARIA S S DELL ORTO,,31308083,1540
FIL Foundation,Fidelity International Foundation,15414404,2981
FIL India Business and Research Services Private Limited,Fidelity International Foundation,12480595,3593
FILEPPENSES MISIONARAS DE LAS ENSAN,,8379530,4939
FILI,,21000180,2293
FIND YOUR FEET,Find Your Feet,26381129.8,1842
Find Your Feet,Find Your Feet,8698095,4795
FIRMENICH AROMATICS PRODUCTION INDIA  LTD,,10600000,4111
First Baptist Church,,11828614.93,3754
First Baptist Church Montgomery,,14109219.88,3203
FIRST PRIZE INTERNATIONAL LTD,,16227046,2862
First Wichester Managers,,27645989.77,1747
FISHHOOK INTERNATIONAL,Fishhook International,13367840.11,3369
Fishhook International,Fishhook International,13328018.27,3376
Fixed Deposit,,18573174,2554
FLAIR FOUNDATION,,12691812,3538
Florida International University,,11625950,3811
Flowering Tree INC,,28748198.55,1678
FNV,FNV MONDIAAL,48333746,932
FNV MONDIAAL,FNV MONDIAAL,20310647,2365
FOCUS HUMANITARIAN ASSISTANCE USA,,10655976,4094
FOEIGN MISSION FOUNDATION,,39667377.62,1184
Foerderverein Fuer Maher e V  Tino Marling,,8699227,4793
FOLKEKIRKENS NODHJELP,,12627484,3553
Fondation Aga Khan,Aga Khan Foundation,1439889399,14
FONDATION AURORE HAPPY HOME,,8414234,4924
Fondation OCP,,11003560,3983
FONDATION VEERNI,,14380149,3143
Fondazione Canossiana,,8614207.62,4843
FONDAZIONE CATERINA CITTADINI ONLUS,,20388533,2352
Fondazione Cottolengo,,9862123,4369
Fondazione Don Bosco Nel Mondo,Fondazione Don Bosco Nel Mondo,41578338,1105
Fondazione DON BOSCO NEL MONDO,Fondazione Don Bosco Nel Mondo,11823767,3757
FONDAZIONE DON BOSCO NEL MONDO,Fondazione Don Bosco Nel Mondo,9258755,4582
FONDAZIONE FRATELLI DIMENTICATI,Fondazione Fratelli Dimenticati,26841687,1804
Fondazione Fratelli Dimenticati,Fondazione Fratelli Dimenticati,10888208.28,4016
Fondazione Fratelli Dimenticati onlus,Fondazione Fratelli Dimenticati,32281028.98,1486
Fondazione Fratelli Dimenticatti,Fondazione Fratelli Dimenticati,24989000.15,1931
Fondazione L Albero della Vita,Fondazione L Albero della Vita,10049260.44,4281
Fondazione L Albero della Vita Onlu,Fondazione L Albero della Vita,16694514.99,2781
Fondazione L Albero Della Vita Onlus,Fondazione L Albero della Vita,31107606.09,1550
Fondazione Madras Morbio Inferiore,,25116429,1918
Fondazione Millesoli,,9104181,4635
Fondazione PIME ONLUS ITALY,,210258825,167
Fondazione San Zeno Onlus,,32801256,1465
FONDERVERIEN ST JOSEF SCHULE CALCUTTA,,10225063.77,4224
Fonds Du Coeur,,11088216.04,3965
FOOD FOR LIFE DEUTSCHLAND E V,,11211376,3934
FOOD FOR LIFE VRINDAVAN,,60633535,749
FOOD FOR LIFE VRINDAVAN SCHWEIZ,,15355627,2993
Ford Foundation,Ford Foundation,447819853.8,67
FORD FOUNDATION,Ford Foundation,357133769,85
Ford Philpot Lay Mission,,149322672,268
Foreign and Commonwealth Office United Kingdom,British High Commission,9009183.11,4667
Foreign Mission Foundation,,70864417.57,609
Forum Syd,,13674589,3288
FORUT,,21032453,2289
